HDI,GNI_Per_Capita,Life_Exp_At_Birth,Exp_Yr_Of_Schooling
0.429,1787,57.9,7.6
0.433,1766,58.4,7.7
0.44,1825,58.9,7.9
0.446,1877,59.3,8
0.453,1966,59.8,8.1
0.461,2078,60.3,8.2
0.468,2197,60.8,8.2
0.474,2245,61.2,8.2
0.481,2341,61.7,8.3
0.489,2504,62.1,8.3
0.495,2548,62.5,8.3
0.499,2630,62.9,8.4
0.506,2689,63.3,8.6
0.518,2851,63.7,9.2
0.527,3029,64.1,9.4
0.536,3217,64.5,9.7
0.546,3421,64.9,9.9
0.555,3640,65.3,10.2
0.563,3691,65.8,10.5
0.569,3926,66.2,10.4
0.579,4182,66.7,10.8
0.588,4353,67.1,11.3
0.597,4521,67.5,11.5
0.604,4749,67.9,11.6
0.616,5047,68.3,11.9
0.624,5391,68.6,12
0.63,5722,68.9,11.9
0.64,6119,69.2,12.3
0.642,6427,69.4,12.2
0.645,6681,69.7,12.2
0.723,102433,71.9,10.3
0.735,96250,72.2,10.7
0.738,93044,72.5,10.5
0.745,92505,72.7,10.5
0.755,96785,73,10.9
0.764,101303,73.2,11.1
0.765,101490,73.4,10.8
0.766,103567,73.7,10.6
0.769,99916,73.9,10.4
0.776,98569,74.1,10.5
0.782,104640,74.3,10.7
0.787,103519,74.5,10.8
0.792,96737,74.8,11
0.798,97762,75,11.1
0.803,98236,75.2,11.3
0.809,92443,75.4,11.4
0.814,88502,75.6,11.6
0.819,79459,75.8,11.8
0.821,69815,76,11.9
0.819,59017,76.1,12.1
0.82,54911,76.3,12.2
0.826,56153,76.5,12.4
0.832,57447,76.7,12.5
0.838,60007,76.9,12.7
0.847,62500,77.1,13
0.859,65529,77.3,13.7
0.864,66881,77.5,13.6
0.881,67668,77.6,13.6
0.889,67195,77.8,14.3
0.89,67462,78,14.3
0.781,30456,75.7,13.7
0.794,30046,75.9,13.9
0.807,30163,76.1,14.3
0.82,30811,76.3,14.5
0.833,32019,76.5,14.7
0.846,32671,76.7,14.9
0.851,33418,76.9,15.1
0.856,34662,77.1,15.3
0.862,36004,77.3,15.5
0.868,36877,77.5,15.9
0.874,38271,77.8,16.1
0.878,39391,78,16.1
0.881,40362,78.3,16.1
0.885,41490,78.5,16.1
0.892,42138,78.8,16.5
0.897,43311,79.1,16.6
0.896,43652,79.3,16.1
0.899,44116,79.6,15.9
0.903,43454,79.8,16
0.906,41367,80.1,16.1
0.912,42183,80.4,16.4
0.906,42635,80.6,15.8
0.904,42362,80.7,15.7
0.921,42547,80.9,17.7
0.925,43330,81,17.9
0.923,43885,81.1,17.4
0.924,44335,81.1,17.3
0.926,45427,81.2,17.4
0.928,45686,81.2,17.5
0.932,46071,81.3,17.5
0.865,40942,75.2,15.4
0.867,40328,75.4,15.4
0.872,41158,75.6,15.7
0.877,41728,75.7,16
0.88,42821,75.9,16
0.883,43472,76.1,16
0.884,44597,76.2,15.9
0.886,45973,76.4,15.9
0.889,47439,76.5,15.9
0.89,49162,76.7,15.8
0.886,50663,76.8,15.1
0.889,50725,77,15.3
0.891,51109,77.1,15.4
0.894,52170,77.3,15.6
0.897,53722,77.5,15.6
0.9,55075,77.7,15.7
0.903,55975,77.9,15.8
0.906,56702,78.1,15.8
0.911,56250,78.3,15.9
0.912,54315,78.5,16.1
0.916,55421,78.7,16.2
0.919,55992,78.8,16.3
0.92,56790,78.9,16.3
0.918,57409,78.9,16.1
0.92,58393,78.9,16.1
0.921,59559,78.9,16.2
0.922,60024,78.9,16.3
0.924,61019,78.9,16.3
0.925,62667,78.9,16.3
0.926,63826,78.9,16.3
